sector_id,year,dva
C19,2011,5475.666
C19,2012,5741.605
C19,2013,6620.905
C19,2014,7250.537
C19,2015,8326.685
C19,2016,9640.014
C19,2017,11215.683
C19,2018,13280.056
C19,2019,13730.26
C19,2020,10669.668
C19,2021,12574.923
C19,2022,15259.172
C19T23,1995,9069.527
C19T23,1996,10241.929
C19T23,1997,9441.654
C19T23,1998,7394.166
C19T23,1999,7822.656
C19T23,2000,8060.452
C19T23,2001,7756.765
C19T23,2002,8546.795
C19T23,2003,9929.845
C19T23,2004,10931.468
C19T23,2005,13047.984
C19T23,2006,16064.931
C19T23,2007,19925.077
C19T23,2008,20570.462
C19T23,2009,18900.803
C19T23,2010,24364.194
C19T23,2011,25629.186
C19T23,2012,26640.414
C19T23,2013,28472.01
C19T23,2014,28438.447
C19T23,2015,29330.343
C19T23,2016,30970.465
C19T23,2017,35499.865
C19T23,2018,39729.32
C19T23,2019,40628.185
C19T23,2020,35728.262
C19T23,2021,39692.645
C19T23,2022,41228.932
C20,1995,1828.317
C20,1996,2037.999
C20,1997,1944.146
C20,1998,1609.751
C20,1999,1784.3
C20,2000,2140.323
C20,2001,1913.029
C20,2002,2040.473
C20,2003,2423.724
C20,2004,3220.493
C20,2005,3986.134
C20,2006,4464.795
C20,2007,5557.649
C20,2008,6114.653
C20,2009,5516.804
C20,2010,7277.286
C20,2011,8070.968
C20,2012,8371.46
C20,2013,8819.248
C20,2014,8867.471
C20,2015,9027.532
C20,2016,8880.299
C20,2017,10127.698
C20,2018,11776.058
C20,2019,11635.046
C20,2020,10511.762
C20,2021,12060.808
C20,2022,11493.814
C20_21,1995,2243.385
C20_21,1996,2469.295
C20_21,1997,2321.726
C20_21,1998,1873.017
C20_21,1999,2086.554
C20_21,2000,2464.832
C20_21,2001,2280.511
C20_21,2002,2448.682
C20_21,2003,2863.301
C20_21,2004,3736.392
C20_21,2005,4556.768
C20_21,2006,5065.808
C20_21,2007,6211.089
C20_21,2008,6785.969
C20_21,2009,6158.578
C20_21,2010,7950.245
C20_21,2011,8856.411
C20_21,2012,9215.628
C20_21,2013,9779.388
C20_21,2014,9824.075
C20_21,2015,9981.564
C20_21,2016,9888.622
C20_21,2017,11250.555
C20_21,2018,13083.023
C20_21,2019,13108.67
C20_21,2020,12101.109
C20_21,2021,13680.664
C20_21,2022,13134.972
C21,1995,415.068
C21,1996,431.296
C21,1997,377.58
C21,1998,263.267
C21,1999,302.254
C21,2000,324.509
C21,2001,367.482
C21,2002,408.209
C21,2003,439.577
C21,2004,515.898
C21,2005,570.634
C21,2006,601.013
C21,2007,653.44
C21,2008,671.316
C21,2009,641.774
C21,2010,672.959
