Date,STMT,PC,ME
1998-10-15,-0.11225519678709645,NA,-0.11830439606286539
1998-11-17,0.00881165868785277,NA,0.010784015968036445
1998-12-22,0.002631610288041419,NA,0.003897478060537984
1999-02-03,0.010258280253759508,NA,0.012069310977379807
1999-03-30,-0.009294785794638214,NA,-0.008795132335772655
1999-05-18,0.06979584676169628,NA,0.07472091270567403
1999-06-30,-0.055245867400507596,NA,-0.05752038726618069
1999-08-24,0.007623337254195388,NA,0.009373434379286701
1999-10-05,0.03704472129967025,NA,0.04008092863753227
1999-11-16,0.06622768388234995,NA,0.07222581835838623
1999-12-21,0.02535345147344599,NA,0.027821045844603088
2000-02-02,0.0029991101965005586,NA,0.004223283895412252
2000-03-21,0.006908380382835342,NA,0.008572599663514233
2000-05-16,0.039561860074984787,NA,0.04330615379720204
2000-06-28,-0.015713314205992875,NA,-0.015484751088434449
2000-08-22,0.015217650979745836,NA,0.01717814965984053
2000-10-03,0.02706667486139669,NA,0.02964537570020702
2000-11-15,0.0087372234236087,NA,0.010410176224292628
2000-12-19,0.01783965358533571,NA,0.020253557727849453
2001-01-03,-0.10825500418642266,NA,-0.1148190991441404
2001-01-31,0.009930327180589104,NA,0.012368431415893612
2001-03-20,-0.03251283483294477,NA,-0.03351141644857377
2001-04-18,-0.26438920947564765,NA,-0.281847607992906
2001-05-15,-0.08299503723020003,NA,-0.0871874300835397
2001-06-27,0.05357686498600773,NA,0.05810525517686613
2001-08-21,-0.03511028086577692,NA,-0.03588615995393156
2001-09-17,-0.04307933552250211,NA,-0.0450944312170848
2001-10-02,-0.032157137499668226,NA,-0.03316303794405407
2001-11-06,-0.09589073944394737,NA,-0.10085299994315396
2001-12-11,-0.03483611836280643,NA,-0.03564139988674443
2002-01-30,0.02167900995732754,NA,0.02415622989722972
2002-03-19,-0.037364438709548524,NA,-0.03842035139302021
2002-05-07,-0.013825763402352642,NA,-0.013230902989239606
2002-06-26,0.010216947691429753,NA,0.012035667224173256
2002-08-13,-0.0507932424105554,NA,-0.051776674106371934
2002-09-24,-2.611854668888216e-4,NA,0.0010381063361311774
2002-11-06,-0.05769275112305273,NA,-0.06052256810474206
2002-12-10,0.017812230865031007,NA,0.019831703305012823
2003-01-29,0.031671752380313944,NA,0.034715631281246016
2003-03-18,0.004902180761438222,NA,0.006283786560522016
2003-05-06,-0.04026560224181809,NA,-0.041101809503561404
2003-06-25,0.09011927519495284,NA,0.09698649666280522
2003-08-12,-0.013121733116795995,NA,-0.012347832181921713
2003-09-16,0.006001161417189596,NA,0.007518081232672036
2003-10-28,-0.03907991389780268,NA,-0.039812571479534875
2003-12-09,0.022168054883820544,NA,0.024141785946549924
2004-01-28,0.08342058187301231,NA,0.08857860110655146
2004-03-16,-0.024767027185880374,NA,-0.024669486245767338
2004-05-04,0.008923777173075865,NA,0.010474824102041756
2004-06-30,-0.010217602549058997,NA,-0.009819258536017058
2004-08-10,0.030447606042486083,NA,0.03335627290220241
2004-09-21,-0.0026259439669414496,NA,-0.0015268803861104995
2004-11-10,-0.01031745894567175,NA,-0.009653577919224615
2004-12-14,-0.0015896611130563887,NA,-5.239179864507413e-4
2005-02-02,0.0024445626230772,NA,0.003865994017357448
2005-03-22,0.044683740375294156,NA,0.04814413228944624
2005-05-03,0.019789888957663246,NA,0.022010213071359256
2005-06-30,0.030884189001120593,NA,0.033744881341384654
2005-08-09,-0.004942029095844145,NA,-0.00400312691936646
2005-09-20,0.0269125742402002,NA,0.02993335975030875
2005-11-01,0.012578917890217135,NA,0.014446560094003141
2005-12-13,-0.009898202633911498,NA,-0.009232813705745122
2006-01-31,0.025222422649588405,NA,0.027872911902242746
2006-03-28,0.036122631683055496,NA,0.039449615045203924
2006-05-10,0.03691936932361108,NA,0.04024993310979434
2006-06-29,-0.024254449474283603,NA,-0.024668895397476628
2006-08-08,-0.012959689531065154,NA,-0.012631052205763804
2006-09-20,0.015060358668068433,NA,0.016965928360554577
2006-10-25,7.562410318795098e-4,NA,0.001948123712400841
2006-12-12,-0.010367260967192546,NA,-0.00958115152626069
2007-01-31,0.0014441827176319478,NA,0.002672083212519053
