"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_I",77.826,9.467,20.76,3.2,69.465,1.451,22.359,2.993,270.018,295.146,31.284,41.084,7.779,131.304,26.293,151.774,64.276,21.162,11.317,74.813,698.007,116.64,138.386,191.259,10.554,49.888,325.486,95.477,32.158,349.225,1293.635,453.414,142.203,438.604,56.614,26.793,869.18,131.731,74.45,75.993,292.113,55.598,308.701,1419.546,573.992,783.451,341.018,122.988,318.67,0,27450.313,89.148,3500.061,0.197,0,0,3120.387,0.18,0,45279.833
"DOM_J58T60",5.883,0.479,1.566,0.102,4.085,0.026,0.892,0.14,73.714,22.864,2.385,10.042,0.417,15.212,5.292,9.579,5.482,1.19,0.884,3.266,65.121,13.088,9.656,26.03,1.066,8.974,48.446,8.472,2.969,14.866,219.658,29.108,4.186,17.578,3.157,2.95,199.668,2241.635,231.722,32.594,34.985,16.298,566.417,74.009,63.663,157.235,19.495,67.519,57.265,0,1272.392,21.928,701.686,578.516,0,0,33.88,256.324,0,7266.054
"DOM_J61",29.814,2.364,14.543,1.698,30.364,0.112,5.259,0.795,70.731,97.059,10.648,17.794,2.002,20.989,9.505,32.032,19.167,4.11,3.277,20.518,334.351,33.197,56.168,123.803,2.863,15.332,135.829,35.529,10.164,102.405,545.683,108.036,23.999,33.426,14.435,18.061,273.42,104.103,853.185,53.062,184.388,44.69,97.238,152.245,232.632,145.534,54.909,23.451,93.268,0,3699.358,0.561,75.08,13.413,0,0,482.9,1875.405,0,10444.901
"DOM_J62_63",5.254,0.377,1.891,0.419,8.029,0.045,1.827,0.229,43.034,30.806,2.892,8.066,0.956,15.031,5.279,13.383,9.426,2.444,1.356,8.277,174.869,17.56,18.26,30.876,1.547,7.97,48.336,24.924,6.507,34.635,179.379,25.605,10.048,18.619,5.661,5.983,48.514,34.364,48.642,126.811,85.592,11.219,51.137,48.862,68.915,60.252,12.359,6.141,19.081,0,80.016,1.435,53.511,2486.801,0,0,0.349,768.67,0,4782.47
"DOM_K",936.406,27.433,166.567,12.056,408.944,2.796,47.908,16.97,1455.187,963.896,99.194,233.684,75.579,439.833,84.837,499.735,302.978,94.022,65.186,233.122,2809.905,398.826,438.289,872.936,39.116,161.772,1225.452,658.889,124.923,950.366,3595.828,896.601,245.047,471.745,95.554,49.125,1127.223,163.374,214.406,92.817,4308.477,1589.774,450.446,752.798,754.515,511.534,151.622,114.366,374.748,0,11468.313,33.227,423.108,101.135,0,0,110.86,1705.523,0,43648.975
"DOM_L",3.978,0.398,1.145,0.209,5.019,0.026,1.146,0.163,26.498,32.414,2.129,4.543,0.522,5.468,1.544,8.959,5.1,1.253,0.879,6.724,64.072,7.453,8.736,21.02,1.463,3.332,41.408,6.247,1.195,30.714,271.807,22.444,5.176,6.614,6.197,2.936,147.217,12.393,13.824,7.847,28.364,30.61,20.391,27.332,24.979,42.665,15.427,7.785,22.024,0,13308.283,34.285,159.627,653.476,0,0,540.555,1748.596,0,17454.611
"DOM_M",107.206,2.261,14.102,2.951,73.342,0.516,14.586,6.16,461.046,232.202,17.145,41.937,7.554,110.762,37.927,124.411,69.286,18.317,8.497,59.317,1327.904,91.496,114.686,418.163,13.037,59.139,305.327,126.065,26.681,485.129,1029.909,110.912,37.765,61.813,24.909,7.819,352.043,130.931,100.049,51.896,221.723,100.94,434.447,204.837,227.461,199.058,57.136,35.51,104.497,0,450.86,23.612,1642.433,760.771,2.319,0,0.307,1485.664,0,12236.774
"DOM_N",90.967,5.109,18.627,3.897,103.846,0.71,21.598,4.416,217.928,137.696,15.052,34.566,4.759,65.058,18.239,78.44,58.419,9.504,5.773,40.544,524.64,63.352,89.227,218.203,8.41,41.922,212.186,78.82,27.696,280.305,627.921,228.874,140.88,240.794,33.688,18.3,292.043,92.924,81.117,44.062,121.72,65.422,115.76,596.203,192.502,255.313,60.217,40.162,65.256,0,2065.326,6.735,277.049,118.375,0,0,429.188,4251.168,0,12940.909
"DOM_O",24.645,0.992,2.694,0.434,3.51,0.062,1.434,0.385,41.235,30.589,4.584,6.768,0.641,10.493,3.68,13.219,6.451,1.875,1.909,9.993,47.717,11.061,13.343,40.292,1.438,6.327,36.043,23.153,7.458,54.593,99.063,57.62,7.138,8.763,3.423,2.019,36.062,6.877,10.317,2.84,20.825,16.612,17.195,15.952,87.636,33.344,9.11,6.147,12.055,0,0.773,13.892,32757.853,0.156,0,0,0.09,0.514,0,33633.292
"DOM_P",2.765,0.195,0.725,0.023,1.559,0.015,0.48,0.061,6.113,3.287,0.368,0.72,0.333,1.818,1.087,1.788,1.607,0.66,0.512,1.644,28.921,3.683,3.9,5.44,0.476,2.573,8.455,3.492,1.349,5.47,17.997,5.936,1.875,7.103,1.029,0.356,5.19,2.597,5.805,3.583,10.611,1.748,8.394,7.891,33.517,179.627,5.491,2.3,5.037,0,689.097,441.163,25220.699,0.187,0,0,1.263,0.279,0,26748.297
