sector,output,domestic_content_share,import_content_share,export_content_share,domestic_intermediate_share,total_intermediate_share,content_plus_total_intermediate
H49,24781.612,0.3454259553414039,0.10262681862664948,0.22113202321140366,0.5198144091675715,0.622441227794221,0.9678671831356249
H50,10086.876,0.3472910740649533,0.2413129694466354,0.47094214303814186,0.4066500867067266,0.647963056153362,0.9952541302183153
H51,12383.465,0.14662406685043322,0.2144099409979356,0.5082084053211279,0.6356271851214503,0.8500371261193859,0.996661192969819
H52,5240.356,0.748638832934251,0.07809545763684758,0.09250382989247295,0.1659053316225081,0.2440007892593557,0.9926396221936067
H53,3089.046,0.6737083228932169,0.06480123636876889,0.1631225303864041,0.25530212240283895,0.32010335877160784,0.9938116816648248
I,45279.839,0.3969750864175997,0.0853879361187658,3.975279152383912e-06,0.4995538522122396,0.5849417883310053,0.981916874748605
J58T60,7266.055,0.16493117654628267,0.24859087909463942,0.035276914364121933,0.5782178912766281,0.8268087703712675,0.9917399469175502
J61,10444.903,0.6690472855516226,0.10042955880011524,0.17955217008717075,0.22652867144864822,0.32695823024876347,0.9960055158003861
J62_63,4782.471,0.7709702787533893,0.07223880709365513,0.16072653655401153,0.152780644148182,0.22501945124183712,0.9959897299952264
K,43648.983,0.8096997586404248,0.04623548731937237,0.03907360224177502,0.14276380734918842,0.18899929466856077,0.9986990533089856
L,17453.339,0.7662375090519928,0.042580505655679994,0.10018690406460334,0.1885997286822882,0.2311802343379682,0.997417743389961
M,12236.776,0.5814657390149169,0.13036914298341326,0.1214097569490526,0.2797721393282021,0.41014128231161534,0.9916070213265322
N,12940.912,0.4101193177111474,0.1831984484555648,0.32850605892382234,0.3950106453084604,0.5782090937640252,0.9883284114751726
O,33633.3,0.7766345259014131,0.049612824195068565,1.528247302524581e-05,0.16834164354969627,0.21795446774476485,0.994588993646178
P,26748.303,0.6673464107237008,0.06765184318421995,1.0430568249507269e-05,0.25736096230104766,0.32501280548526756,0.9923592162089684
Q,16509.015,0.7725414871813976,0.05299425798571265,1.4900949572097427e-05,0.1690956728793329,0.22208993086504553,0.9946314180464431
R,4298.664,0.6359731767823678,0.06817862480063573,0.005716659873858484,0.28857942839914913,0.3567580531997849,0.9927312299821527
S,9005.249,0.5599536448131529,0.10133267830795128,4.497377029774524e-05,0.32894337513599015,0.43027605344394143,0.9902296982570944
T,731.44,1.0,0.0,0.0,0.0,0.0,1.0
